"Country","ISO","year","value"
"Afghanistan","AFG",2017,0.25
"Afghanistan","AFG",2018,0.3
"Afghanistan","AFG",2019,0.725
"Albania","ALB",2018,0.05
"Albania","ALB",2022,0.9
"Algeria","DZA",2019,0.15
"Algeria","DZA",2020,1
"Algeria","DZA",2021,0.65
"Algeria","DZA",2022,0.75
"Angola","AGO",2015,0.3
"Angola","AGO",2016,0.325
"Angola","AGO",2017,0.375
"Angola","AGO",2018,0.425
"Antigua and Barbuda","ATG",2019,0.6
"Argentina","ARG",2016,0
"Argentina","ARG",2017,0
"Argentina","ARG",2018,0.75
"Armenia","ARM",2017,1
"Armenia","ARM",2018,0.75
"Armenia","ARM",2019,0.75
"Armenia","ARM",2020,0.7
"Armenia","ARM",2021,0.925
"Armenia","ARM",2022,1
"Australia","AUS",2015,0.2
"Australia","AUS",2016,0.2
"Australia","AUS",2017,0.2
"Australia","AUS",2018,0.625
"Australia","AUS",2019,0.7
"Australia","AUS",2020,0.7
"Australia","AUS",2021,0.7
"Australia","AUS",2022,0.6
"Austria","AUT",2018,0.55
"Azerbaijan","AZE",2017,0
"Bahrain","BHR",2021,0.65
"Bangladesh","BGD",2016,0.875
"Bangladesh","BGD",2017,0.9
"Bangladesh","BGD",2018,0.9
"Bangladesh","BGD",2019,0.925
"Bangladesh","BGD",2020,0.95
"Bangladesh","BGD",2021,0
"Barbados","BRB",2018,0.975
"Barbados","BRB",2019,1
"Belarus","BLR",2015,0.175
"Belarus","BLR",2016,0.475
"Belarus","BLR",2017,0.475
"Belarus","BLR",2018,0.55
"Belarus","BLR",2019,0.8
"Belarus","BLR",2020,0.8
"Belarus","BLR",2021,0.8
"Belarus","BLR",2022,0.925
"Belgium","BEL",2022,0.05
"Benin","BEN",2015,0.1
"Benin","BEN",2016,0.1
"Benin","BEN",2017,0.175
"Benin","BEN",2018,0.175
"Benin","BEN",2019,0.175
"Benin","BEN",2020,0.25
"Bhutan","BTN",2017,0.7
"Bhutan","BTN",2018,0.5
"Bolivia (Plurinational State of)","BOL",2015,0.2
"Bolivia (Plurinational State of)","BOL",2016,0.425
"Bolivia (Plurinational State of)","BOL",2017,0.6
"Bolivia (Plurinational State of)","BOL",2018,0.6
"Bolivia (Plurinational State of)","BOL",2019,0.6
"Bolivia (Plurinational State of)","BOL",2020,0.6
"Bolivia (Plurinational State of)","BOL",2021,0.3
"Botswana","BWA",2017,0.125
"Botswana","BWA",2018,0.525
"Botswana","BWA",2022,0.05
