ISO,year,NoExclusion,e_spar_mm_global,ghs_index_mm_global,hexp_gdp_mm_global,efforts_A_mm_global,efforts_B_mm_global,uhc_index_mm_global,health_policy_mm_global,national_plan_mm_global,national_strategy_mm_global,recognition_mm_global,participation_event_it_mm_global,decision_event_it_mm_global,leadership_event_it_mm_global,admin_event_it_mm_global,role_type_it_mm_global,disaster_risk_oriented_mm_global,NoExclusion_mm_global,e_spar_mm_year,ghs_index_mm_year,hexp_gdp_mm_year,efforts_A_mm_year,efforts_B_mm_year,uhc_index_mm_year,health_policy_mm_year,national_plan_mm_year,national_strategy_mm_year,recognition_mm_year,participation_event_it_mm_year,decision_event_it_mm_year,leadership_event_it_mm_year,admin_event_it_mm_year,role_type_it_mm_year,disaster_risk_oriented_mm_year,pillar_A_eq,pillar_B_eq,pillar_C_eq,pillar_D_eq,pillar_A_pca,pillar_B_pca,pillar_C_pca,pillar_D_pca,pillar_A_ent,pillar_B_ent,pillar_C_ent,pillar_D_ent,pillar_D_eq_adj,pillar_A_eq_pred,pillar_A_eq_resid,pillar_B_eq_pred,pillar_B_eq_resid,pillar_D_eq_pred,pillar_D_eq_resid,GHEI,GHEI_raw,GHEI_adj,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
AFG,2012,1.0,0.13793103448275862,0.19767441860465113,0.21428571428571427,0.0,,0.3,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.6836925274979292,1.0,0.0,0.07648183556405352,0.18461538461538463,0.0,,0.3,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.5940002105077767,0.16780272654370487,0.2994945604459109,,0.3,0.16983213997893248,0.22177299487295055,0.0,0.5870184682448168,0.1661376244065623,0.306718927409029,0.0,0.3641950659257678,0.3,,,,,,,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2014,1.0,0.3793103448275862,0.19767441860465113,0.22857142857142856,0.0,,0.3,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6017321044645306,1.0,0.34146341463414637,0.07648183556405352,0.13559322033898305,0.0,,0.3,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.46869079188671703,0.2884923817161187,0.2825758832589898,,0.2,0.2823224200640508,0.21720582888047896,0.0,0.2463000918174436,0.293554739300361,0.288673590556228,0.0,0.2571411577378928,0.2,0.48510375086329766,-0.19661136914717897,,,0.2588193364475433,-0.05881933644754328,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2015,1.0,0.3333333333333333,0.19767441860465113,0.22857142857142856,0.0,,0.3,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.5727761294309529,1.0,0.18571428571428572,0.18823529411764706,0.15873015873015872,0.0,,0.3,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.43485960339179763,0.2655038759689922,0.27533688950059537,,0.3,0.2608957000478378,0.21465160125782473,0.0,0.5870184682448168,0.26928481265392323,0.2809669622404401,0.0,0.3641950659257678,0.3,0.47874422149994145,-0.21324034553094923,,,0.2624029449961527,0.0375970550038473,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2018,1.0,0.25287356321839083,0.19767441860465113,0.2857142857142857,0.0,,0.3,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.366679677860194,1.0,0.12162162162162163,0.07648183556405352,0.17543859649122806,0.0,,0.3,,,,0.0,0.0,0.5,1.0,0.0,1.0,0.17074266308584865,0.22527399091152098,0.23809849089361995,,0.4,0.22339894001946503,0.20712217352542206,0.0,0.6276085012649691,0.22681244102265696,0.24118809193960616,0.0,0.49148157841267115,0.4,0.47602316991540916,-0.25074917900388816,,,0.2617203528916556,0.1382796471083444,,,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2019,1.0,0.3448275862068966,0.19767441860465113,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.33539148280339953,1.0,0.17647058823529413,0.17152658662092624,0.23333333333333334,0.0,,0.725,,,,0.0,0.0,0.5,1.0,0.0,1.0,0.1264581748805061,0.2712510024057738,0.3365264421294213,,0.4,0.266252380051891,0.37652212776803073,0.0,0.6276085012649691,0.27535229431553265,0.3295170889405839,0.0,0.49148157841267115,0.4,0.4620256991457383,-0.1907746967399645,,,0.26052581670878583,0.1394741832912142,,,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2020,1.0,0.39080459770114945,0.20514950166112958,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.3001153929284174,1.0,0.2318840579710145,0.08533077660594443,0.1935483870967742,0.0,,0.7105263157894737,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.19887485083502376,0.2979770496811395,0.32770741966067574,,0.4,0.2916705614940395,0.3734103982174483,0.0,0.6276085012649691,0.3031514251645136,0.3201283630287276,0.0,0.49148157841267115,0.4,0.4990235943797089,-0.20104654469856936,,,0.2618910009177799,0.13810899908222013,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2021,1.0,0.3218390804597701,0.21262458471760798,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.2625,0.21368948247078462,0.20634920634920634,0.0,,0.725,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.26723183258868904,0.2526785714285714,,0.2,0.26352194289565545,0.3469370010787726,0.0,0.2463000918174436,0.2702757393973998,0.24025269721316095,0.0,0.2571411577378928,0.2,0.49570862881080247,-0.22847679622211342,,,0.2626845709329541,-0.0626845709329541,,,,observed,observed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2013,1.0,0.3218390804597701,0.1528239202657807,0.21428571428571427,0.75,,,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.9430964132454182,1.0,0.2976190476190476,0.0,0.0,0.75,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.9766871696417422,0.2373315003627754,0.6357940425103775,,0.3,0.23159025148817172,0.3633732259651189,0.0,0.5870184682448168,0.24204210577705562,0.4895069157275322,0.0,0.3641950659257678,0.3,,,,,,,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2014,1.0,0.05747126436781609,0.1528239202657807,0.21428571428571427,0.75,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9580999552000381,1.0,0.0,0.02485659655831741,0.11864406779661017,0.75,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9675823625640465,0.1051475923167984,0.6407952231619175,,0.2,0.10838661139494692,0.36469669931573834,0.0,0.2463000918174436,0.10249002756003792,0.4935001061184793,0.0,0.2571411577378928,0.2,0.6115147230357431,-0.5063671307189447,,,0.2608838374014685,-0.060883837401468466,,,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2019,1.0,0.5747126436781609,0.1528239202657807,0.32857142857142857,0.75,,,1.0,,,0.0,0.0,0.5,0.5,0.0,1.0,0.9560375696831792,1.0,0.47058823529411764,0.12521440823327615,0.2833333333333333,0.75,,,1.0,,,0.0,0.0,0.5,1.0,0.0,1.0,0.9803330988818891,0.3637682819719708,0.6782029994182026,0.5,0.4,0.3494372115773433,0.38581575517305544,0.6400800281806298,0.6276085012649691,0.3755267023324639,0.5230985399032625,0.27207333325018224,0.49148157841267115,0.4,0.6133946073111818,-0.24962632533921097,,,0.25695893280061055,0.14304106719938947,0.47130672067383306,0.47130672067383306,0.6964533995338037,observed,observed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
