ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag,disaster_risk_oriented,e_spar_mm_global,ghs_index_mm_global,hexp_gdp_mm_global,efforts_A_mm_global,efforts_B_mm_global,uhc_index_mm_global,health_policy_mm_global,national_plan_mm_global,national_strategy_mm_global,recognition_mm_global,participation_event_it_mm_global,decision_event_it_mm_global,leadership_event_it_mm_global,admin_event_it_mm_global,role_type_it_mm_global,disaster_risk_oriented_mm_global,NoExclusion_mm_global,e_spar_mm_year,ghs_index_mm_year,hexp_gdp_mm_year,efforts_A_mm_year,efforts_B_mm_year,uhc_index_mm_year,health_policy_mm_year,national_plan_mm_year,national_strategy_mm_year,recognition_mm_year,participation_event_it_mm_year,decision_event_it_mm_year,leadership_event_it_mm_year,admin_event_it_mm_year,role_type_it_mm_year,disaster_risk_oriented_mm_year
AFG,2012,25.0,27.9,0.07897169,37,0.3,0.354,,,,1,1,0,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.92102831,0.13793103448275862,0.19767441860465113,0.21428571428571427,0.0,,0.3,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.6836925274979292,1.0,0.0,0.07648183556405352,0.18461538461538463,0.0,,0.3,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.5940002105077767
AFG,2014,46.0,27.9,0.09528878,38,0.3,0.346,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.90471122,0.3793103448275862,0.19767441860465113,0.22857142857142856,0.0,,0.3,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6017321044645306,1.0,0.34146341463414637,0.07648183556405352,0.13559322033898305,0.0,,0.3,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.46869079188671703
AFG,2015,42.0,27.9,0.10105348,38,0.3,0.341,,,,1,1,0,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89894652,0.3333333333333333,0.19767441860465113,0.22857142857142856,0.0,,0.3,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.5727761294309529,1.0,0.18571428571428572,0.18823529411764706,0.15873015873015872,0.0,,0.3,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.43485960339179763
AFG,2018,35.0,27.9,0.14208419,42,0.3,0.336,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.85791581,0.25287356321839083,0.19767441860465113,0.2857142857142857,0.0,,0.3,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.366679677860194,1.0,0.12162162162162163,0.07648183556405352,0.17543859649122806,0.0,,0.3,,,,0.0,0.0,0.5,1.0,0.0,1.0,0.17074266308584865
AFG,2019,43.0,27.9,0.1483132,42,0.725,0.339,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.8516868,0.3448275862068966,0.19767441860465113,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.33539148280339953,1.0,0.17647058823529413,0.17152658662092624,0.23333333333333334,0.0,,0.725,,,,0.0,0.0,0.5,1.0,0.0,1.0,0.1264581748805061
AFG,2020,47.0,28.35,0.15533614,42,0.725,0.341,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.84466386,0.39080459770114945,0.20514950166112958,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.3001153929284174,1.0,0.2318840579710145,0.08533077660594443,0.1935483870967742,0.0,,0.7105263157894737,,,,0.0,0.0,0.5,0.5,0.0,1.0,0.19887485083502376
AFG,2021,41.0,28.8,0.21508461,42,0.725,0.33,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.78491539,0.3218390804597701,0.21262458471760798,0.2857142857142857,0.0,,0.725,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.2625,0.21368948247078462,0.20634920634920634,0.0,,0.725,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.0
AGO,2013,41.0,25.2,0.02732827,37,,0.512,,,,1,1,0,1,0,3,0.0,1.0,80,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97267173,0.3218390804597701,0.1528239202657807,0.21428571428571427,0.75,,,,,,0.0,0.0,0.0,0.5,0.0,1.0,0.9430964132454182,1.0,0.2976190476190476,0.0,0.0,0.75,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.9766871696417422
AGO,2014,18.0,25.2,0.02434129,37,,0.514,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97565871,0.05747126436781609,0.1528239202657807,0.21428571428571427,0.75,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9580999552000381,1.0,0.0,0.02485659655831741,0.11864406779661017,0.75,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9675823625640465
AGO,2019,63.0,25.2,0.02475188,45,,0.462,2.0,,,1,1,1,1,0,3,0.0,1.0,80,,observed,observed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97524812,0.5747126436781609,0.1528239202657807,0.32857142857142857,0.75,,,1.0,,,0.0,0.0,0.5,0.5,0.0,1.0,0.9560375696831792,1.0,0.47058823529411764,0.12521440823327615,0.2833333333333333,0.75,,,1.0,,,0.0,0.0,0.5,1.0,0.0,1.0,0.9803330988818891
