ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
AFG,2012,25.0,,0.07897169,37,,0.354,,,,1,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2014,46.0,,0.09528878,38,,0.346,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2015,42.0,,0.10105348,38,,0.341,,,,1,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2018,35.0,,0.14208419,42,0.3,0.336,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2019,43.0,27.9,0.1483132,42,0.725,0.339,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2020,47.0,,0.15533614,42,,0.341,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AFG,2021,41.0,28.8,0.21508461,42,,0.33,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2013,41.0,,0.02732827,37,,0.512,,,,1,1,0,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2014,18.0,,0.02434129,37,,0.514,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AGO,2019,63.0,25.2,0.02475188,45,,0.462,2.0,,,1,1,1,1,0,3,0.0,1.0,80,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
