ISO,year,GHEI_raw,GHEI_arith
AFG,2012,,
AFG,2014,,
AFG,2015,,
AFG,2018,,
AFG,2019,,
AFG,2020,,
AFG,2021,,
AGO,2013,,
AGO,2014,,
AGO,2019,0.47130672067383306,0.4854928203475434
AGO,2022,0.3952093932802719,0.43360004413506575
ALB,2011,,
ALB,2013,,
AND,2013,,
AND,2021,0.30932743338053775,0.3409348972849133
ARE,2013,,
ARE,2019,0.45469673424148627,0.4830395647238842
ARG,2013,0.5940403018212321,0.5994887803663603
ARG,2016,0.4739787325502967,0.5265841912642688
ARG,2018,0.49505434243160845,0.5530637122364401
ARG,2019,0.49190213773396363,0.5491801888884642
ARG,2020,0.4947108552141695,0.5525650652766668
ARM,2010,,
ARM,2016,,
ARM,2022,,
ATG,2016,0.5072846636955979,0.5741124835178415
ATG,2017,0.5795867190856803,0.5952201170644328
AUS,2012,,
AUS,2016,,
AUS,2018,,
AUS,2020,,
AUS,2021,,
AUS,2023,0.5211715490323315,0.5980345585160176
AUT,2014,,
AUT,2019,0.3521680391197628,0.39360980857060096
AZE,2012,,
BDI,2015,,
BDI,2016,0.3780037707261678,0.41168164797879925
BDI,2021,0.33138515930491913,0.3787186535831057
BEL,2012,,
BEN,2014,,
BEN,2016,,
BEN,2017,,
BEN,2021,0.3667211158688605,0.3979158578166387
BEN,2022,0.3296094821798677,0.37082085665299347
BFA,2010,,
BFA,2015,,
BFA,2018,,
BFA,2019,,
BFA,2022,0.36464497244770333,0.3912866573562051
BGD,2019,,
BGD,2021,0.530265100161198,0.5376453937279266
BGR,2018,,
BGR,2021,,
BGR,2022,,
BHR,2014,,
BHR,2016,0.47760628552471235,0.5498576815439938
BHR,2023,0.5679727929160091,0.5998576815439939
BHS,2012,0.46607072941632643,0.5354548563522222
BHS,2019,0.46472168565920247,0.5331572028056976
BHS,2020,0.5158034955835255,0.556437384872861
BLR,2021,0.4512704937797833,0.49800829332949464
BRA,2013,,
BRA,2017,,
BRA,2022,,
BRB,2010,,
BRB,2015,,
BRB,2018,,
BRB,2021,,
BRB,2023,,
BRN,2023,,
BTN,2011,0.4660056526991211,0.47047157632347514
BTN,2012,0.4846753165147892,0.4881544755376168
BTN,2016,0.4283221075811599,0.46513991307973584
BTN,2019,0.4866976008031958,0.5083708033211132
BTN,2020,0.5406890283454621,0.5501759740935991
BTN,2021,0.4764934512888213,0.49988285567226315
BTN,2023,0.5677501594428938,0.5760733318627393
BWA,2011,0.47421003303446074,0.5514553315042436
BWA,2015,0.5670363925125925,0.6042930031008243
BWA,2018,0.35187743272835814,0.46560460861662706
BWA,2020,0.4364734467298626,0.5177715794896672
CAF,2016,,
CAN,2012,,
CAN,2015,,
CAN,2020,,
CAN,2021,,
CAN,2022,0.555933393875042,0.6448631917205088
CHE,2011,,
CHE,2012,,
CHE,2014,,
CHE,2015,,
CHE,2023,0.45673862465131576,0.5204867678517924
CHL,2010,,
CHL,2011,,
CHL,2013,,
CHL,2015,,
CHL,2018,,
CHL,2021,,
CHN,2010,,
CHN,2011,,
CHN,2012,,
CHN,2013,,
CHN,2014,,
CHN,2015,,
CHN,2016,,
CHN,2017,,
CHN,2018,,
CHN,2019,,
CHN,2020,,
CHN,2021,,
CHN,2022,0.47052773019666366,0.512809523607964
CHN,2023,0.4384542229311382,0.4887023807508211
CIV,2012,,
CIV,2016,,
CIV,2023,0.45732467167519547,0.5081490332526449
CMR,2011,,
CMR,2016,,
CMR,2018,,
CMR,2021,0.38149053561622814,0.44435767980735136
CMR,2022,0.3838822674485924,0.44738610536283185
CMR,2023,0.3845789495569805,0.448278962505689
COD,2010,,
COD,2014,,
COD,2019,0.34992176808307024,0.4062912157860787
COD,2023,0.35108015047135366,0.40867216816703106
COG,2014,,
COG,2015,,
COG,2019,0.30888224122926833,0.3461760044965215
COG,2020,0.3481068351892016,0.3711231336916369
COG,2022,0.32090930717453703,0.3561453201003279
COK,2011,,
COK,2017,,
COL,2016,,
COL,2017,,
COL,2019,,
COL,2020,,
COM,2015,,
COM,2023,,
CPV,2010,,
CPV,2014,,
CPV,2017,0.5083647293654299,0.5356624317526015
CPV,2023,0.4622679903960778,0.5154243365145064
CRI,2013,,
CUB,2010,,
CUB,2011,,
CUB,2012,,
CUB,2013,,
CUB,2014,,
CUB,2015,,
CUB,2016,,
CUB,2017,,
CUB,2018,,
CUB,2019,,
CUB,2020,,
CUB,2021,0.0,0.3481006630213886
CUB,2022,0.0,0.356474168058944
CUB,2023,0.0,0.356474168058944
CYP,2011,,
CZE,2022,,
DEU,2010,,
DEU,2018,,
DEU,2020,,
DEU,2021,,
DEU,2022,,
DJI,2012,,
DJI,2017,,
DJI,2018,,
DJI,2019,,
DJI,2020,0.329386054963274,0.3935680740019461
DJI,2021,0.3519166932315383,0.40454208433463584
DJI,2022,0.3919867668356398,0.43236479893076313
DJI,2023,0.35324242999831157,0.4061743227402869
DNK,2012,,
DNK,2018,,
DNK,2021,,
DOM,2015,,
DOM,2017,,
DOM,2018,,
DOM,2022,,
DZA,2016,,
DZA,2021,,
ECU,2010,,
ECU,2018,,
ECU,2023,0.5270053241587068,0.558827036554566
EGY,2010,,
EGY,2011,,
EGY,2013,,
ERI,2011,,
ERI,2014,,
ERI,2020,0.43557883857926144,0.47937681801800563
ESP,2010,,
EST,2010,,
EST,2015,,
EST,2016,,
EST,2021,0.5441076104678758,0.5849121212029095
